vendor_name,slug,category_1,category_2,category_3,category_4,category_5,category_6,price_band,description,phone,address,area,city,state,country,latitude,longitude,is_active,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close,dish_1_name,dish_1_description,dish_1_image_url,dish_2_name,dish_2_description,dish_2_image_url,dish_3_name,dish_3_description,dish_3_image_url,image_url_1,image_sort_order_1,image_url_2,image_sort_order_2
MaMa Ola,mama-ola,breakfast,lunch,dinner,rice,swallow,,budget,"She sells Rice and stew with meat N1,500 Jollof rice with Salad and Meat N2,000 Swallow like: Garri,Semo,Amala,Apu and Pounded yam. Soup like: Egusi,okro, Ewedu, Ogbono, gbegiri and Vegetable soup ranging from N1,500-2,000 fried plantain,and Moi- Moi",08153227229,"Opposite Police Station, Shopping Complex Area1",Garki,Abuja,FCT,Nigeria,9.031401,7.4698664,true,07:00 AM,06:00 PM,07:00 AM,06:00 PM,07:00 AM,06:00 PM,07:00 AM,06:00 PM,07:00 AM,06:00 PM,07:00 AM,06:00 PM,,,"Jollof rice, rice and stew, swallow and soup, Moi Moi.","She sells Rice and stew with meat N1,500 Jollof rice with Salad and Meat N2,000 Swallow like: Garri,Semo,Amala,Apu and Pounded yam. Soup like: Egusi,okro, Ewedu, Ogbono, gbegiri and Vegetable soup ranging from N1,500-2,000 fried plantain,and Moi- Moi",,"Jollof rice, rice and stew, swallow and soup, Moi Moi.","She sells Rice and stew with meat N1,500 Jollof rice with Salad and Meat N2,000 Swallow like: Garri,Semo,Amala,Apu and Pounded yam. Soup like: Egusi,okro, Ewedu, Ogbono, gbegiri and Vegetable soup ranging from N1,500-2,000 fried plantain,and Moi- Moi",,"Jollof rice, rice and stew, swallow and soup, Moi Moi.","She sells Rice and stew with meat N1,500 Jollof rice with Salad and Meat N2,000 Swallow like: Garri,Semo,Amala,Apu and Pounded yam. Soup like: Egusi,okro, Ewedu, Ogbono, gbegiri and Vegetable soup ranging from N1,500-2,000 fried plantain,and Moi- Moi",,,,,
ADAMU SPECIAL KILISHI,adamu-special-kilishi,grills,,,,,,premium,"He sells Special dried Kilishi, Suya Dambu, Nama, Ram, Goat meat, and Chicken suya",08140501039,"Area 1 Shopping Center, Gariki-Abuja",Garki,Abuja,FCT,Nigeria,9.0310461,7.4704132,true,07:00 AM,10:00 PM,07:00 AM,10:00 PM,07:00 AM,10:00 PM,07:00 AM,10:00 PM,07:00 AM,10:00 PM,07:00 AM,10:00 PM,07:00 AM,10:00 AM,"Kilishi, Ram, Suya, Chicken suya Goat Suya etc.","He sells Special dried Kilishi, Suya Dambu, Nama, Ram, Goat meat, and Chicken suya",,"Kilishi, Ram, Suya, Chicken suya Goat Suya etc.","He sells Special dried Kilishi, Suya Dambu, Nama, Ram, Goat meat, and Chicken suya",,"Kilishi, Ram, Suya, Chicken suya Goat Suya etc.","He sells Special dried Kilishi, Suya Dambu, Nama, Ram, Goat meat, and Chicken suya",,,,,
Adamu kilishi,adamu-kilishi,grills,,,,,,premium,"He sells Neat and Sweet Kilishi ranging from N5,000 upward  Danguru( grounded meat, Chicken and Beef) From N2,500-25,000. Suya pepper N4,000 upward.",08062575852,"Sokoto Street, Shagari plaza,by Traffic",Garki,Abuja,FCT,Nigeria,9.0304783,7.4703117,true,06:00 AM,10:00 PM,06:00 AM,10:00 PM,06:00 AM,10:00 PM,06:00 AM,10:00 PM,06:00 AM,10:00 PM,06:00 AM,10:00 PM,06:00 AM,10:00 PM,"Kilishi, pepper meat and Danguru","He sells Kilishi ranging from N5,000 upward  Danguru( grounded meat, Chicken and Beef) From N2,500-25,000. Suya pepper N4,000 upward.",,"Kilishi, pepper meat and Danguru","He sells Kilishi ranging from N5,000 upward  Danguru( grounded meat, Chicken and Beef) From N2,500-25,000. Suya pepper N4,000 upward.",,"Kilishi, pepper meat and Danguru","He sells Kilishi ranging from N5,000 upward  Danguru( grounded meat, Chicken and Beef) From N2,500-25,000. Suya pepper N4,000 upward.",,,,,
Mummy Emma,mummy-emma,breakfast,lunch,dinner,,,,budget,"She sells Sells Roasted yam and porridge beans with Kpomo N2,000-5,000 porridge beans and plantain with Upaka and Fish N5,000.",09075764628,"Gudu District Market After Fcmb Bank, APO",Gudu,Abuja,FCT,Nigeria,8.9980303,7.4725915,true,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,06:30 AM,06:00 PM,,,"Roasted yam,plantain, porridge beans etc.","She sells Sells Roasted yam and porridge beans with Kpomo N2,000-5,000 porridge beans and plantain with Upaka and Fish N5,000.",,"Roasted yam,plantain, porridge beans etc.","She sells Sells Roasted yam and porridge beans with Kpomo N2,000-5,000 porridge beans and plantain with Upaka and Fish N5,000.",,"Roasted yam,plantain, porridge beans etc.","She sells Sells Roasted yam and porridge beans with Kpomo N2,000-5,000 porridge beans and plantain with Upaka and Fish N5,000.",,,,,
Madam Indomie,madam-indomie-row-016,breakfast,lunch,dinner,drinks,,,budget,"She sells All sort of Soft drinks ranging from N400-1,000 Indomie and 2eggs N1,500",08188717942,"Gudu District Market front of NB Plaza, APO",Gudu,Abuja,FCT,Nigeria,8.998249,7.4718152,true,09:00 AM,06:00 PM,09:00 AM,06:00 PM,09:00 AM,06:00 PM,09:00 AM,06:00 PM,09:00 AM,06:00 PM,09:00 AM,06:00 PM,,,"Indomie,egg,drinks","She sells All sort of Soft drinks ranging from N400-1,000 Indomie and 2eggs N1,500",,"Indomie,egg,drinks","She sells All sort of Soft drinks ranging from N400-1,000 Indomie and 2eggs N1,500",,"Indomie,egg,drinks","She sells All sort of Soft drinks ranging from N400-1,000 Indomie and 2eggs N1,500",,,,,
Iya,iya,drinks,snacks,,,,,budget,"She sells Meatpie N600, Sausage roll N600 ,Egg roll N600, Doghnut N100-300, Bons N100, Puff puff N100, peanut N100. All kinds of Soft Drinks ranging from N400-1,000",09029528458,First gate Gudu Market opposite Police Station. (APO),Gudu,Abuja,FCT,Nigeria,8.9999369,7.472287,true,07:30 AM,07:30 PM,07:30 AM,07:30 PM,07:30 AM,07:30 PM,07:30 AM,07:30 PM,07:30 AM,07:30 PM,07:30 AM,07:30 PM,,,"Doghnut, Puff puff, Fish roll, drinks etc.","She sells Meatpie N600, Sausage roll N600 ,Egg roll N600, Doghnut N100-300, Bons N100, Puff puff N100, peanut N100. All kinds of Soft Drinks ranging from N400-1,000",,"Doghnut, Puff puff, Fish roll, drinks etc.","She sells Meatpie N600, Sausage roll N600 ,Egg roll N600, Doghnut N100-300, Bons N100, Puff puff N100, peanut N100. All kinds of Soft Drinks ranging from N400-1,000",,"Doghnut, Puff puff, Fish roll, drinks etc.","She sells Meatpie N600, Sausage roll N600 ,Egg roll N600, Doghnut N100-300, Bons N100, Puff puff N100, peanut N100. All kinds of Soft Drinks ranging from N400-1,000",,,,,
Mama Lovina,mama-lovina,breakfast,lunch,dinner,rice,swallow,,budget,"She sells White Rice and stew with meat and beans N1,300 jollof rice with salad and meat N1800, with fish and Salad N2,500 Moi Moi 2 N500 Swallow: Apu, garri,Semo, Soup: Egusi, Biterleaf,Oha, okro, ranging from N1,200-1,500 All kinds of Soft drinks N500-600.",08080420919,"Gaduwa junction beside MRS filling station, opposite AXIS Plaza. (Gudu)",Gudu,Abuja,FCT,Nigeria,9.0035953,7.4645591,true,06:00 AM,07:00 PM,06:00 AM,07:00 PM,06:00 AM,07:00 PM,06:00 AM,07:00 PM,06:00 AM,07:00 PM,06:00 AM,07:00 PM,,,"Moi Moi, Rice and stew, jollof rice, swallow and soup.","She sells White Rice and stew with meat and beans N1,300 jollof rice with salad and meat N1800, with fish and Salad N2,500 Moi Moi 2 N500 Swallow: Apu, garri,Semo, Soup: Egusi, Biterleaf,Oha, okro, ranging from N1,200-1,500 All kinds of Soft drinks N500-600.",,"Moi Moi, Rice and stew, jollof rice, swallow and soup.","She sells White Rice and stew with meat and beans N1,300 jollof rice with salad and meat N1800, with fish and Salad N2,500 Moi Moi 2 N500 Swallow: Apu, garri,Semo, Soup: Egusi, Biterleaf,Oha, okro, ranging from N1,200-1,500 All kinds of Soft drinks N500-600.",,"Moi Moi, Rice and stew, jollof rice, swallow and soup.","She sells White Rice and stew with meat and beans N1,300 jollof rice with salad and meat N1800, with fish and Salad N2,500 Moi Moi 2 N500 Swallow: Apu, garri,Semo, Soup: Egusi, Biterleaf,Oha, okro, ranging from N1,200-1,500 All kinds of Soft drinks N500-600.",,,,,
Samira,samira,dinner,,,,,,budget,"Pap N300-500, Kunungeda N500-1,000 ,Akara N50 , potato N50 and Yam  N50 with Kpomo N1,00.",09032235547,"Gaduwa opposite Toastpan Eatery, (Gudu)",Gudu,Abuja,FCT,Nigeria,9.002836,7.4648849,true,03:30 PM,08:00 PM,03:30 PM,08:00 PM,03:30 PM,08:00 PM,03:30 PM,08:00 PM,03:30 PM,08:00 PM,03:30 PM,08:00 PM,03:30 PM,08:00 PM,"Akara,Pap, kunungeda, kpomo,fried yam and potatoes","Pap N300-500, Kunungeda N500-1,000 ,Akara N50 , potato N50 and Yam  N50 with Kpomo N1,00.",,"Akara,Pap, kunungeda, kpomo,fried yam and potatoes","Pap N300-500, Kunungeda N500-1,000 ,Akara N50 , potato N50 and Yam  N50 with Kpomo N1,00.",,"Akara,Pap, kunungeda, kpomo,fried yam and potatoes","Pap N300-500, Kunungeda N500-1,000 ,Akara N50 , potato N50 and Yam  N50 with Kpomo N1,00.",,,,,
Mai Nama,mai-nama,grills,,,,,,budget,"Ram Roasted Suya 1kilo N12,000",09126333927,"opposite Gaduwa Estate, Gaduwa Gudu Apo.",Gudu,Abuja,FCT,Nigeria,9.002695,7.4646465,true,01:00 PM,11:00 PM,01:00 PM,11:00 PM,01:00 PM,11:00 PM,01:00 PM,11:00 PM,01:00 PM,11:00 PM,01:00 PM,11:00 PM,01:00 PM,11:00 PM,Roasted Ram Suya,"Ram Roasted Suya 1kilo N12,000",,Roasted Ram Suya,"Ram Roasted Suya 1kilo N12,000",,Roasted Ram Suya,"Ram Roasted Suya 1kilo N12,000",,,,,
Favour,favour-row-021,breakfast,lunch,dinner,,,,budget,"She sells Akara N100,Yam N100, potatoes N100, Fish N500-1,000, pap 500, plantain (3) N500 and Fried chicken N1,200-1,500",08100174711,Gudu park Apo Front of Eugols Kitchen,Gudu,Abuja,FCT,Nigeria,8.9998887,7.4711588,true,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,,,"Fried yam, potato, plantain, fish, Chicken, pap, Akara etc.","She sells Akara N100,Yam N100, potatoes N100, Fish N500-1,000, pap 500, plantain (3) N500 and Fried chicken N1,200-1,500",,"Fried yam, potato, plantain, fish, Chicken, pap, Akara etc.","She sells Akara N100,Yam N100, potatoes N100, Fish N500-1,000, pap 500, plantain (3) N500 and Fried chicken N1,200-1,500",,"Fried yam, potato, plantain, fish, Chicken, pap, Akara etc.","She sells Akara N100,Yam N100, potatoes N100, Fish N500-1,000, pap 500, plantain (3) N500 and Fried chicken N1,200-1,500",,,,,
Favour,favour-row-022,breakfast,lunch,dinner,,,,budget,"She sells Akara N100,Yam N100, potatoes N100, Fish N500-1,000, pap 500, plantain (3) N500 and Fried chicken N1,200-1,500",08100174711,Gudu park Apo Front of Eugols Kitchen,Gudu,Abuja,FCT,Nigeria,9.0006891,7.4720249,true,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,06:00 AM,09:00 PM,,,"Fried yam, potato, plantain, fish, Chicken, pap, Akara etc.","She sells Akara N100,Yam N100, potatoes N100, Fish N500-1,000, pap 500, plantain (3) N500 and Fried chicken N1,200-1,500",,"Fried yam, potato, plantain, fish, Chicken, pap, Akara etc.","She sells Akara N100,Yam N100, potatoes N100, Fish N500-1,000, pap 500, plantain (3) N500 and Fried chicken N1,200-1,500",,"Fried yam, potato, plantain, fish, Chicken, pap, Akara etc.","She sells Akara N100,Yam N100, potatoes N100, Fish N500-1,000, pap 500, plantain (3) N500 and Fried chicken N1,200-1,500",,,,,
Ify plantain,ify-plantain,breakfast,lunch,dinner,,,,budget,"She sells Roasted yam and Beans with kpomo N1,200 Roasted plantain and beans  with kpomo N1,700 Beans and bread N1,100 Bottle Mineral N400",07039234851,Gudu park Apo,Gudu,Abuja,FCT,Nigeria,8.9998551,7.4711794,true,09:00 AM,06:00 PM,09:00 AM,06:00 PM,09:00 AM,06:00 PM,09:00 AM,06:00 PM,09:00 AM,06:00 PM,09:00 AM,06:00 PM,,,"Kpomo, Roasted yam and plantain with porridge beans","She sells Roasted yam and Beans with kpomo N1,200 Roasted plantain and beans  with kpomo N1,700 Beans and bread N1,100 Bottle Mineral N400",,"Kpomo, Roasted yam and plantain with porridge beans","She sells Roasted yam and Beans with kpomo N1,200 Roasted plantain and beans  with kpomo N1,700 Beans and bread N1,100 Bottle Mineral N400",,"Kpomo, Roasted yam and plantain with porridge beans","She sells Roasted yam and Beans with kpomo N1,200 Roasted plantain and beans  with kpomo N1,700 Beans and bread N1,100 Bottle Mineral N400",,,,,
Madam leaky finger,madam-leaky-finger,breakfast,lunch,dinner,rice,swallow,,budget,"She sells Rice and stew, with beans and meat N2,300 jollof rice with Chicken N3,500 Swallow: Semo, Apu, garri and what  Soup: Vegetable soup with Semo N4,300 Egusi soup with garri or Apu N2,800 Oha soup and garri N3,000 Okro  Soup N2,800",08136064504,Gudu park Apo,Apo,Abuja,FCT,Nigeria,9.000146,7.4717771,true,07:00 AM,06:30 PM,07:00 AM,06:30 PM,07:30 AM,06:30 PM,07:30 AM,06:30 PM,07:30 AM,06:30 PM,07:30 AM,06:30 PM,,,Pot of varities of Soup on Order.,"She sells Rice and stew, with beans and meat N2,300 jollof rice with Chicken N3,500 Swallow: Semo, Apu, garri and what  Soup: Vegetable soup with Semo N4,300 Egusi soup with garri or Apu N2,800 Oha soup and garri N3,000 Okro  Soup N2,800",,Pot of varities of Soup on Order.,"She sells Rice and stew, with beans and meat N2,300 jollof rice with Chicken N3,500 Swallow: Semo, Apu, garri and what  Soup: Vegetable soup with Semo N4,300 Egusi soup with garri or Apu N2,800 Oha soup and garri N3,000 Okro  Soup N2,800",,Pot of varities of Soup on Order.,"She sells Rice and stew, with beans and meat N2,300 jollof rice with Chicken N3,500 Swallow: Semo, Apu, garri and what  Soup: Vegetable soup with Semo N4,300 Egusi soup with garri or Apu N2,800 Oha soup and garri N3,000 Okro  Soup N2,800",,,,,
Diamond Gee global,diamond-gee-global,drinks,snacks,,,,,budget,"She sells Snacks like: Doughnuts,Egg roll, Meatpie, Chin Chin, Puff puff, Fish roll and peanut.ranging from N100-1,000 Soft drinks like, Coke, Fanta, Pepsi,7up, Sweepes, etc.",08072714851,"David Ejor street back of AP filling station, Apo",Apo,Abuja,FCT,Nigeria,9.0113782,7.4728413,true,07:00 AM,11:00 PM,07:00 AM,11:00 PM,07:00 AM,11:00 PM,07:00 AM,11:00 PM,07:00 AM,11:00 PM,07:00 AM,11:00 PM,,,"Doghnut puff puff, Meatpie, fishpie, fish roll etc.","She sells Snacks like: Doughnuts,Egg roll, Meatpie, Chin Chin, Puff puff, Fish roll and peanut.ranging from N100-1,000 Soft drinks like, Coke, Fanta, Pepsi,7up, Sweepes, etc.",,"Doghnut puff puff, Meatpie, fishpie, fish roll etc.","She sells Snacks like: Doughnuts,Egg roll, Meatpie, Chin Chin, Puff puff, Fish roll and peanut.ranging from N100-1,000 Soft drinks like, Coke, Fanta, Pepsi,7up, Sweepes, etc.",,"Doghnut puff puff, Meatpie, fishpie, fish roll etc.","She sells Snacks like: Doughnuts,Egg roll, Meatpie, Chin Chin, Puff puff, Fish roll and peanut.ranging from N100-1,000 Soft drinks like, Coke, Fanta, Pepsi,7up, Sweepes, etc.",,,,,
