"vendor_name","slug","area","address","phone","current_latitude","current_longitude","duplicate_group_count","address_confidence","candidate_latitude","candidate_longitude","candidate_address","candidate_source","distance_from_current_km","distance_from_area_center_km","recommendation","review_notes"
"madam yam","madam-yam","Wuse","zone 2 by Mambolo street","2347061728071","9.057900","7.495100","25","HIGH CONFIDENCE","9.062045532204394","7.466555088758469","Wuse, Nigeria","MapTiler Geocoding API (joint_submunicipality; relevance=0.469136; not partial)","3.17","2.14","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Mama Amira","mama-amira","Asokoro","Asokoro Village Kpanduma 2 by pantaker.","2349039261430","9.057900","7.495100","25","HIGH CONFIDENCE","9.04592670415905","7.522982891781339","Asokoro Abuja, Municipal Area Council, Nigeria","MapTiler Geocoding API (place; relevance=0.492778; not partial)","3.34","0.9","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Mama Bole","mama-bole","Jabi","Jabi Wazobia back of Zenith bank.","2347076026861","9.057900","7.495100","25","MEDIUM CONFIDENCE","9.075435781863108","7.42222674627908","Jabi Reservoir, Nigeria","MapTiler Geocoding API (major_landform; relevance=0.513333; not partial)","8.24","1.16","NEEDS_AGENT_CONFIRMATION","Address has landmark direction and area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Mama food","mama-food","Wuse","Zone 2 by UBA","2348160027490","9.057900","7.495100","25","HIGH CONFIDENCE","9.06433071729881","7.489297203719616","Abuja, Municipal Area Council, Nigeria","MapTiler Geocoding API (place; relevance=0.481667; not partial)","0.96","3.07","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Mama moi moi","mama-moi-moi","Asokoro","Asokoro Village Extension","2348169309305","9.057900","7.495100","25","LOW CONFIDENCE","","","","","","","NO_CANDIDATE","Address is too vague for safe geocoding. Low-confidence address was not geocoded."
"Mama Nde","mama-nde","Jabi","Akara N50, pap N200-300, kunu ngeda N300-500 yam N100,potato N50","2347011643599","9.057900","7.495100","25","HIGH CONFIDENCE","9.064623068964725","7.421007491648197","Jabi, Nigeria","MapTiler Geocoding API (joint_submunicipality; relevance=0.422658; not partial)","8.17","0.23","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Medoya /Mme yam","medoya-mme-yam","Asokoro","Asokoro Village Extension","2349156211199","9.057900","7.495100","25","LOW CONFIDENCE","","","","","","","NO_CANDIDATE","Address is too vague for safe geocoding. Low-confidence address was not geocoded."
"Mme Fura","mme-fura","Asokoro","Asokoro Village Extension Pantaker by Mosque.","2349019082449","9.057900","7.495100","25","MEDIUM CONFIDENCE","9.04592670415905","7.522982891781339","Asokoro Abuja, Municipal Area Council, Nigeria","MapTiler Geocoding API (place; relevance=0.492778; not partial)","3.34","0.9","NEEDS_AGENT_CONFIRMATION","Address has landmark direction and area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Native Hut","native-hut","Wuse","Old Banex Plaza, By Access Bank, Wuse 2, FCT Abuja","2349131231411","9.057900","7.495100","25","HIGH CONFIDENCE","9.063690937688568","7.47750133159991","FCT, Municipal Area Council, Nigeria","MapTiler Geocoding API (place; relevance=0.511905; not partial)","2.04","2.26","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Oliver's Burger","olivers-burger","Wuse","Omega Center, Aminu Kano Crescent, Wuse 2 FCT Abuja","2348057522491","9.057900","7.495100","25","HIGH CONFIDENCE","11.89483891239321","8.536413498222828","Kano State, Nigeria","MapTiler Geocoding API (subregion; relevance=0.438746; not partial)","335.37","333.97","REJECT_CANDIDATE","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is outside approximate FCT bounds."
"Ozis Snacks, drinks and fast-food","ozis-snacks-drinks-and-fast-food","Wuse","Banex Plaza Wuse 2, beside ProtoBrand Nig Ltd FCT Abuja","2348175573357","9.057900","7.495100","25","HIGH CONFIDENCE","9.063690937688568","7.47750133159991","FCT, Municipal Area Council, Nigeria","MapTiler Geocoding API (place; relevance=0.511905; not partial)","2.04","2.26","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Salisu Suya and grill Spot","salisu-suya-and-grill-spot","Wuse","Lingu Street, opposite Health Trust Plaza off Aminu Kano, FCT Abuja","2348086236152","9.057900","7.495100","25","HIGH CONFIDENCE","9.079648651461607","7.470912675359614","Aminu Kano Crescent, 904101 Municipal Area Council, Nigeria","MapTiler Geocoding API (address; relevance=0.44; not partial)","3.59","0.44","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"special Abacha","special-abacha","Wuse","zone 3 by General hospital","2348163141900","9.057900","7.495100","25","HIGH CONFIDENCE","9.062045532204394","7.466555088758469","Wuse, Nigeria","MapTiler Geocoding API (joint_submunicipality; relevance=0.469136; not partial)","3.17","2.14","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Tina Rimke dada","tina-rimke-dada","Jabi","Jabi Wazobia by Zenith bank.","2347087879469","9.057900","7.495100","25","MEDIUM CONFIDENCE","9.064623068964725","7.421007491648197","Jabi District, Municipal Area Council, Nigeria","MapTiler Geocoding API (place; relevance=0.628395; not partial)","8.17","0.23","NEEDS_AGENT_CONFIRMATION","Address has landmark direction and area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"UCHE BEST TASTY MEAL","uche-best-tasty-meal","Utako","Adeugo Ajose street B4 peace park Utako village.","2348034658710","9.057900","7.495100","25","HIGH CONFIDENCE","9.074457635699142","7.4432106886703195","Abuja FCT, Municipal Area Council, Nigeria","MapTiler Geocoding API (place; relevance=0.466852; not partial)","5.99","0.54","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
