vendor_name,slug,category_1,category_2,category_3,category_4,category_5,category_6,price_band,description,phone,address,area,city,state,country,latitude,longitude,is_active,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close,dish_1_name,dish_1_description,dish_1_image_url,dish_2_name,dish_2_description,dish_2_image_url,dish_3_name,dish_3_description,dish_3_image_url,image_url_1,image_sort_order_1,image_url_2,image_sort_order_2
KC faith kitchen,kc-faith-kitchen,breakfast,lunch,dinner,rice,swallow,,budget,"Rice and Stew with meat N1700, Rice and Ofaku with meat N1700, Swallow: Garri, Semo, Apu, plantain flour, Soup: Okro, Egusi, vegetable, bitter leaf, Oha.N1700,2,200,and N2700 etc.",09039036107,Utako market opposite WESTGATE TECHNOLOGIES.,Utako,Abuja,FCT,Nigeria,9.066981,7.4453189,TRUE,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,,,"Ofaku, Rice and stew, beans and plantain etc.","Rice and Stew with meat N1700, Rice and Ofaku with meat N1700, Swallow: Garri, Semo, Apu, plantain flour, Soup: Okro, Egusi, vegetable, bitter leaf, Oha.N1700,2,200,and N2700 etc.",,"Ofaku, Rice and stew, beans and plantain etc.","Rice and Stew with meat N1700, Rice and Ofaku with meat N1700, Swallow: Garri, Semo, Apu, plantain flour, Soup: Okro, Egusi, vegetable, bitter leaf, Oha.N1700,2,200,and N2700 etc.",,"Ofaku, Rice and stew, beans and plantain etc.","Rice and Stew with meat N1700, Rice and Ofaku with meat N1700, Swallow: Garri, Semo, Apu, plantain flour, Soup: Okro, Egusi, vegetable, bitter leaf, Oha.N1700,2,200,and N2700 etc.",,,,,
mummy Dominic,mummy-dominic,drinks,,,,,,budget,"She makes and sells Smoothy, Tigernut, Banana smoothy watermelon plane, watermelon smoothie, carrot juice, Avocado juice, ranging from N1000-1500",07068787999,Utako market opposite SAY plaza,Utako,Abuja,FCT,Nigeria,9.0665537,7.4460218,TRUE,9:00 AM,7:30 PM,9:00 AM,7:30 PM,9:00 AM,7:30 PM,9:00 AM,7:30 PM,9:00 AM,7:30 PM,9:00 AM,7:30 PM,,,"Smoothie, fruit juice and orange juice etc.","She makes and sells Smoothy, Tigernut, Banana smoothy watermelon plane, watermelon smoothie, carrot juice, Avocado juice, ranging from N1000-1500",,"Smoothie, fruit juice and orange juice etc.","She makes and sells Smoothy, Tigernut, Banana smoothy watermelon plane, watermelon smoothie, carrot juice, Avocado juice, ranging from N1000-1500",,"Smoothie, fruit juice and orange juice etc.","She makes and sells Smoothy, Tigernut, Banana smoothy watermelon plane, watermelon smoothie, carrot juice, Avocado juice, ranging from N1000-1500",,,,,
Mama mary,mama-mary-2,breakfast,lunch,dinner,,,,budget,"She sells plantain and porridge beans with kpomo for N1700, same with plantain and beans with kpomo, roasted fish for N1,000 and above.",08169762420,Utako market by SAY plaza,Utako,Abuja,FCT,Nigeria,9.0671467,7.44619,TRUE,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,10:00 AM,6:00 PM,,,"roasted plantain, porridge beans, roasted yam roasted fish, and kpomo with Stew.","She sells plantain and porridge beans with kpomo for N1700, same with plantain and beans with kpomo, roasted fish for N1,000 and above.",,"roasted plantain, porridge beans, roasted yam roasted fish, and kpomo with Stew.","She sells plantain and porridge beans with kpomo for N1700, same with plantain and beans with kpomo, roasted fish for N1,000 and above.",,"roasted plantain, porridge beans, roasted yam roasted fish, and kpomo with Stew.","She sells plantain and porridge beans with kpomo for N1700, same with plantain and beans with kpomo, roasted fish for N1,000 and above.",,,,,
Afaihat,afaihat,breakfast,lunch,rice,swallow,,,budget,"Rice and stew, semo, garri, Apu, Ewedu, gbegiri, beans soup, vegetable soup, okro, pounded yam etc. ranging from N2,000- N3,000.",08123077968,Utako farm market by Miva university,Utako,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,7:00 AM,4:00 PM,7:00 AM,4:00 PM,7:00 AM,4:00 PM,7:00 AM,4:00 PM,7:00 AM,4:00 PM,,,,,"moi moi catfish pepper soup, cow head etc.","Rice and stew, semo, garri, Apu, Ewedu, gbegiri, beans soup, vegetable soup, okro, pounded yam etc. ranging from N2,000- N3,000.",,"moi moi catfish pepper soup, cow head etc.","Rice and stew, semo, garri, Apu, Ewedu, gbegiri, beans soup, vegetable soup, okro, pounded yam etc. ranging from N2,000- N3,000.",,"moi moi catfish pepper soup, cow head etc.","Rice and stew, semo, garri, Apu, Ewedu, gbegiri, beans soup, vegetable soup, okro, pounded yam etc. ranging from N2,000- N3,000.",,,,,
madam Bole,madam-bole,breakfast,lunch,,,,,budget,"Bread, ijebu garri, sugar, Roasted potatoes, yam, plantain, fresh beans and sauce",08032080383,"Utako village besides Lebress plaza, by back of Eternal station",Utako,Abuja,FCT,Nigeria,9.0685354,7.4383286,TRUE,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,9:00 AM,4:00 PM,,,,,"ijebu garri, sugar, bread, roasted fish, plantain etc","Bread, ijebu garri, sugar, Roasted potatoes, yam, plantain, fresh beans and sauce",,"ijebu garri, sugar, bread, roasted fish, plantain etc","Bread, ijebu garri, sugar, Roasted potatoes, yam, plantain, fresh beans and sauce",,"ijebu garri, sugar, bread, roasted fish, plantain etc","Bread, ijebu garri, sugar, Roasted potatoes, yam, plantain, fresh beans and sauce",,,,,
Mme Doya,mme-doya,breakfast,lunch,dinner,,,,budget,"She sells Roasted plantain, yam and porridge beans, potatoes, kpomo, fish etc ranging from N1500 upward.",09017718166,Utako village Ajose Adeugo Street by Pamec Hotel,Utako,Abuja,FCT,Nigeria,9.0688114,7.4410824,TRUE,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,,"Roasted yam, plantain, porridge beans.","She sells Roasted plantain, yam and porridge beans, potatoes, kpomo, fish etc ranging from N1500 upward.",,"Roasted yam, plantain, porridge beans.","She sells Roasted plantain, yam and porridge beans, potatoes, kpomo, fish etc ranging from N1500 upward.",,"Roasted yam, plantain, porridge beans.","She sells Roasted plantain, yam and porridge beans, potatoes, kpomo, fish etc ranging from N1500 upward.",,,,,
UCHE BEST TASTY MEAL,uche-best-tasty-meal,breakfast,lunch,dinner,drinks,rice,swallow,budget,"He sells indomie and egg ranging from N1800-2,000,bread 1000, toasted bread and egg is N1500, toasted bread and Tea for N2,000, Chicken N3000-3500, fried rice, ofada rice jollof rice, White soup and pounded yam N3500. Rice and stew with beans is N2,000 a plate etc.Adeog",08034658710,Adeugo Ajose street B4 peace park Utako village.,Utako,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,7:30 AM,11:00 PM,7:30 AM,11:00 PM,7:30 AM,11:00 PM,7:30 AM,11:00 PM,7:30 AM,11:08 PM,7:30 AM,11:00 PM,3:00 PM,11:00 PM,"white rice, jollof rice, porridge beans, indomie and egg, chicken, bread, white soup, toasted bread and tea etc.","He sells indomie and egg ranging from N1800-2,000,bread 1000, toasted bread and egg is N1500, toasted bread and Tea for N2,000, Chicken N3000-3500, fried rice, ofada rice jollof rice, White soup and pounded yam N3500. Rice and stew with beans is N2,000 a plate etc.Adeog",,"white rice, jollof rice, porridge beans, indomie and egg, chicken, bread, white soup, toasted bread and tea etc.","He sells indomie and egg ranging from N1800-2,000,bread 1000, toasted bread and egg is N1500, toasted bread and Tea for N2,000, Chicken N3000-3500, fried rice, ofada rice jollof rice, White soup and pounded yam N3500. Rice and stew with beans is N2,000 a plate etc.Adeog",,"white rice, jollof rice, porridge beans, indomie and egg, chicken, bread, white soup, toasted bread and tea etc.","He sells indomie and egg ranging from N1800-2,000,bread 1000, toasted bread and egg is N1500, toasted bread and Tea for N2,000, Chicken N3000-3500, fried rice, ofada rice jollof rice, White soup and pounded yam N3500. Rice and stew with beans is N2,000 a plate etc.Adeog",,,,,
Awashe suya spot,awashe-suya-spot,grills,,,,,,budget,"He sells Suya,Gizzard, full grilled/ roasted suya,kidney, liver kilishi etc",08126818766,12 AJOSE ADEOGUN STREET BY BLACK GATE UTAKO VILLAGE BESIDE KOREST HOTEL& APARTMENT.,Utako,Abuja,FCT,Nigeria,9.0579,7.4951,TRUE,12:45 PM,11:00 PM,12:45 PM,11:00 PM,12:45 PM,11:00 PM,12:45 PM,11:00 PM,12:45 PM,11:00 PM,12:45 PM,11:00 PM,,,"suya, kidney, liver, chicken, kilishi etc.","He sells Suya,Gizzard, full grilled/ roasted suya,kidney, liver kilishi etc",,"suya, kidney, liver, chicken, kilishi etc.","He sells Suya,Gizzard, full grilled/ roasted suya,kidney, liver kilishi etc",,"suya, kidney, liver, chicken, kilishi etc.","He sells Suya,Gizzard, full grilled/ roasted suya,kidney, liver kilishi etc",,,,,
mme Masa,mme-masa,breakfast,lunch,,,,,budget,"She sells masa, biscuits bone and kpomo with mainshanu, , sweet kunu nsaki, yaji pepper.",08149961258,"Utako village coming from Arab junction, you first turn by your left, just beside the chief palace.",Utako,Abuja,FCT,Nigeria,9.0713346,7.4457946,TRUE,6:00 AM,12:00 PM,6:00 AM,6:00 PM,6:00 AM,12:00 PM,6:00 AM,12:00 PM,6:00 AM,12:00 PM,6:00 AM,12:00 PM,,,"kunu, yaji pepper, Masa, sources mainshanu etc.","She sells masa, biscuits bone and kpomo with mainshanu, , sweet kunu nsaki, yaji pepper.",,"kunu, yaji pepper, Masa, sources mainshanu etc.","She sells masa, biscuits bone and kpomo with mainshanu, , sweet kunu nsaki, yaji pepper.",,"kunu, yaji pepper, Masa, sources mainshanu etc.","She sells masa, biscuits bone and kpomo with mainshanu, , sweet kunu nsaki, yaji pepper.",,,,,
NIKIS SPECIAL,nikis-special,breakfast,lunch,dinner,swallow,,,budget,"fried fish N500,1500,2000. chicken N1500, 2000, fried rice chicken and Salad N5000, Rice and stew with beans N1,500, porridge beans N700, plantain 3 for N500 Swallow: Semo Apu and garri, wheat. Soup: Vegetable soupN2,000,bitter leaf, oha, Egusi with pack N2,000and white soup N3500",09077271144,utako village by Baptist Church.,Utako,Abuja,FCT,Nigeria,9.0713738,7.4452178,TRUE,7:30 AM,10:30 PM,7:30 AM,10:30 PM,7:30 AM,10:30 PM,7:30 AM,10:30 PM,7:30 AM,10:30 PM,7:30 AM,10:30 PM,7:30 AM,10:30 PM,"fried fish, fried meat, fried plantain, yam, swallow and Rice","fried fish N500,1500,2000. chicken N1500, 2000, fried rice chicken and Salad N5000, Rice and stew with beans N1,500, porridge beans N700, plantain 3 for N500 Swallow: Semo Apu and garri, wheat. Soup: Vegetable soupN2,000,bitter leaf, oha, Egusi with pack N2,000and white soup N3500",,"fried fish, fried meat, fried plantain, yam, swallow and Rice","fried fish N500,1500,2000. chicken N1500, 2000, fried rice chicken and Salad N5000, Rice and stew with beans N1,500, porridge beans N700, plantain 3 for N500 Swallow: Semo Apu and garri, wheat. Soup: Vegetable soupN2,000,bitter leaf, oha, Egusi with pack N2,000and white soup N3500",,"fried fish, fried meat, fried plantain, yam, swallow and Rice","fried fish N500,1500,2000. chicken N1500, 2000, fried rice chicken and Salad N5000, Rice and stew with beans N1,500, porridge beans N700, plantain 3 for N500 Swallow: Semo Apu and garri, wheat. Soup: Vegetable soupN2,000,bitter leaf, oha, Egusi with pack N2,000and white soup N3500",,,,,
Mme kunu,mme-kunu,breakfast,lunch,dinner,snacks,,,budget,She sells kunu ngeda and egg rolls with Puff puff.,08036117208,Utako village by Chief pallace,Utako,Abuja,FCT,Nigeria,9.0713718,7.4458122,TRUE,7:00 AM,9:00 PM,7:00 AM,9:00 PM,7:00 AM,9:00 PM,7:00 AM,9:00 PM,7:00 AM,9:00 PM,7:00 AM,9:00 PM,,,"kunu ngeda, bones and Egg rolls",She sells kunu ngeda and egg rolls with Puff puff.,,"kunu ngeda, bones and Egg rolls",She sells kunu ngeda and egg rolls with Puff puff.,,"kunu ngeda, bones and Egg rolls",She sells kunu ngeda and egg rolls with Puff puff.,,,,,
Esther,esther,breakfast,dinner,,,,,budget,"She sells Bones N100, Egg Roll N500, Akara N50, Yam N100, potato N50",08035858527,Utako village by chief palace.,Utako,Abuja,FCT,Nigeria,9.0715296,7.4456709,TRUE,6:30 AM,12:00 PM,6:30 AM,12:00 PM,6:30 AM,12:00 AM,6:30 AM,12:00 PM,6:30 AM,12:00 PM,6:30 AM,12:00 PM,6:30 AM,12:00 PM,"Yam, bones, potato, yam, pap, Akara","She sells Bones N100, Egg Roll N500, Akara N50, Yam N100, potato N50",,"Yam, bones, potato, yam, pap, Akara","She sells Bones N100, Egg Roll N500, Akara N50, Yam N100, potato N50",,"Yam, bones, potato, yam, pap, Akara","She sells Bones N100, Egg Roll N500, Akara N50, Yam N100, potato N50",,,,,
Mama Daniel,mama-daniel,breakfast,lunch,,,,,budget,"She sells Rice, porridge Bean with meat N1500, fried plantain N100, spaghetti a plate is N500, Swallow with soup N1500 pounded yam with white soup N2,000.",08135888811,Ngozi okomji iwala opposite No 4 v,Utako,Abuja,FCT,Nigeria,9.0701888,7.4458813,TRUE,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,,,,,"fried potatoes,fried plantain, spaghetti, Rice and stew with swallow","She sells Rice, porridge Bean with meat N1500, fried plantain N100, spaghetti a plate is N500, Swallow with soup N1500 pounded yam with white soup N2,000.",,"fried potatoes,fried plantain, spaghetti, Rice and stew with swallow","She sells Rice, porridge Bean with meat N1500, fried plantain N100, spaghetti a plate is N500, Swallow with soup N1500 pounded yam with white soup N2,000.",,"fried potatoes,fried plantain, spaghetti, Rice and stew with swallow","She sells Rice, porridge Bean with meat N1500, fried plantain N100, spaghetti a plate is N500, Swallow with soup N1500 pounded yam with white soup N2,000.",,,,,
